ID,title,extracted_news_info,summary_report,sentiment_result,trend_result,sentiment_ratio,compression_ratio,country,id
10,分散投資ETF降低風險，盡量避免長線持有單一股票。,台積電/0050指數/長線持有/分散投資/指數型ETF/降低風險/投資策略,台積電2330漲勢超過0050指數，長線持有單一股票波動大，建議分散投資或投資指數型ETF，降低風險、獲利穩定成長。投資應注重過程和心理面，找出適合自己的投資標的和策略才能建立資產。投資需自行評估風險，慎重考慮。,建議分散投資或投資指數型ETF，降低風險、獲利穩定成長。找出適合自己的投資標的和策略，建立資產。投資需自行評估風險，慎重考慮。,簡單來說，建議採取分散投資或選擇投資指數型ETF，以降低風險並獲得穩定的回報。重要的是要找出適合自己的投資標的和策略，並建立起穩健的資產組合。當然，在進行投資前，必須自行評估風險並慎重考慮每一個投資決定。,1.0,16.0,TW,110.0
11,台股今早開盤下挫，台積電ADR開盤失守千元價位，權值股下跌。立標題前台積電ADR下挫、權值股跟跌。,台股/台積電/ADR/權值股/電子股/金融股/投資風險,台股今早開盤下挫，台積電重挫，ADR開盤失守千元價位，權值股普遍下跌。電子股如鴻海、聯發科、廣達、台達電、日月光等也呈現負向趨勢。金融股富邦金稍微上漲，其他如國泰金、中信金則小幅下跌。投資人應審慎評估風險，自行負責投資結果。,台股開盤下挫，台積電和多數權值股表現不佳，電子股普遍下跌，僅富邦金稍微上漲。整體情勢偏向負面，投資人需謹慎評估風險。,近期台股開盤下挫，主要受限於台積電和大多數權值股表現不佳，電子股普遍下跌的趨勢顯示市場情緒偏向負面。僅富邦金小幅上漲，顯示市場對金融類股的相對支持。投資人需保持謹慎，評估市場風險與潛在影響因素，特別是在電子產業面臨挑戰的情況下。建議關注更多外部經濟指標及國際市場動態，以調整投資策略。,1.0,8.0,TW,111.0
12,台股開盤大跌超過200點，主要受到中國禁止企業購買NVIDIA晶片和台積電ADR走弱的影響。傳產股表現強勢上漲，電子股追價意願低，預期短期內指數將守穩在22297點。投資人應謹慎選股，聚焦基本面良好的個股。,台股/開盤/大跌/中國/禁令/NVIDIA/傳產股,台股今日開盤大跌逾200點，截至上午1040，加權指數下滑375點至22447點。主要因中國禁止企業購買NVIDIA高階晶片及台積電ADR走弱。傳產股如鋼鐵、玻璃族群強勢上漲，市場預估成交量約3300億元。分析師王兆立指出，電子股追價意願低，資金轉向本益比低的傳產類股，並預期短期內指數將守穩於22297點。投資人應謹慎選股，聚焦基本面良好的個股。,台股今日開盤大跌逾200點，主因中國禁止企業購買NVIDIA高階晶片及台積電ADR走弱。傳產股上漲，市場預估成交量約3300億元。分析師指出電子股追價意願低，資金轉向本益比低的傳產類股，並預期短期內指數將守穩於22297點。投資人應謹慎選股，聚焦基本面良好的個股。,台股今日開盤大跌逾200點，主因是中國禁止企業購買NVIDIA高階晶片以及台積電ADR走弱。傳產股上漲，市場預估成交量約3300億元。分析師指出電子股的追價意願較低，資金轉向本益比低的傳產類股，並預期短期內指數將穩定在22297點左右。在這樣的情況下，投資者應謹慎選股，聚焦那些基本面良,1.0,2.0,TW,112.0
13,OpenAI執行長提議建36座晶圓廠遭台積電批評,OpenAI/晶圓廠/台積電/投資計畫/風險/三星/美國政府,OpenAI的執行長提出興建36座晶圓廠，遭台積電高層批評荒謬並拒絕合作。阿特曼的投資計畫涉及達數兆美元的金額，台積電認為風險過高。另外，台積電和三星正商討在阿拉伯聯合大公國建立超大規模晶圓廠，以增加全球產能並壓抑晶片價格，但美國政府對先進AI晶片轉運至中國的擔憂尚未解除，使得,情感分析：新聞內容表現出對OpenAI執行長提案的強烈反對，台積電高層的批評顯示出對該計畫的懷疑與不信任，情緒偏向負面。同時，台積電與三星的合作計畫則顯示出積極擴張的意圖，但受到美國政府的擔憂影響，情緒中帶有不安。,在近期的情感分析中，對OpenAI執行長提案的強烈反對顯示出業界對該計畫的懷疑與不信任，情緒明顯偏向負面。台積電高層的批評進一步強化了這一觀點，反映出對未來發展的不安。  另一方面，台積電與三星的合作計畫展現出積極擴張的意圖，顯示出對市場機會的把握。然而，受到美國政府的擔憂影響，這一計畫的情緒中也帶有不安，顯示出外部環境對企業策略的潛在影響。整體而言，當前情勢中負面情緒與擴張意圖交織，反映出市場的不確定性。,1.0,13.0,TW,113.0
14,美股四大指數漲跌互見，台股周一下挫超過2百點，台積電股價重返千金，有股民獲利了結，電價審議結果將公布，台股本周聚焦能源題材。,美股/台股/分析師/短線壓力/台積電/電價審議/能源題材,上周五美股四大指數漲跌互見，台股周一30日開盤下挫超過2百點，分析師認為短線壓力大，預測回測5日線。台積電股價重返千金，但有股民獲利了結。電價審議結果將於當天五點後公布，引發市場矚目。美股創新高，台股本周聚焦能源題材。,上周五美股四大指數漲跌互見，台股周一30日開盤下挫超過2百點，分析師認為短線壓力大，預測回測5日線。台積電股價重返千金，但有股民獲利了結。電價審議結果將於當天五點後公布，引發市場矚目。美股創新高，台股本周聚焦能源題材。,上周五，美股四大指數表現不一，顯示出市場的不確定性。台股在周一開盤下跌超過200點，分析師預測短線壓力大，可能會回測五日線。台積電股價回到千元以上，但部分股民選擇獲利了結，反映市場情緒謹慎。市場對當天電價審議結果的關注也將影響短期走勢。整體來看，台股本周集中於能源題材，可能受益於美股新高的提振，但仍需警惕短期內的調整風險。,1.0,13.0,TW,114.0
15,台股30日收22224點，失守510日及月線，指數跌598點。,台股/30日收22224點/跌598點/失守510日及月線/成交量3908億元/櫃買指數/下探26845點/台積電尾盤賣壓/股價從971元跌至957元/鴻海/收1875元/跌35元/聯發科/收1175元/跌85元/強勢股/中國政策/鋼鐵/玻璃/水泥類股,台股30日收22224點，跌598點，失守510日及月線，成交量3908億元。櫃買指數也下探26845點，收黑。台積電尾盤賣壓使股價從971元跌至957元；鴻海收1875元，跌35元；聯發科收1175元，跌85元。今日強勢股集中於受中國政策影響的鋼鐵、玻璃及水泥類股。,台股大幅下跌，情緒悲觀，主要指數失守重要支撐位，成交量較高。台積電、鴻海和聯發科等權重股均出現明顯下滑，顯示市場信心不足。部分強勢股集中於受中國政策影響的行業，顯示市場對政策的敏感度。,台股近期呈現明顯下跌趨勢，投資者情緒悲觀，主要指數失守重要支撐位並有較高的成交量。重要權重股如台積電、鴻海和聯發科等皆呈現下滑，顯示市場信心不足。另一方面，部分強勢股集中於受中國政策影響的行業，顯示市場對政策的敏感度增加。總括而言，目前台股面臨著較強烈的賣壓，投資者宜保持,1.0,2.0,TW,115.0
16,台股週一大跌262點，台積電重挫市值蒸發112兆,美國大選/通膨問題/台股/台積電/市值/產股/科技股,台股週一因受美股低迷及台積電股價下挫影響，終場大跌262點，收於22245點。台積電股價重挫，市值蒸發112兆，創下歷史第九大跌幅。傳產股受中國政策刺激影響上漲，科技股則疲弱。市場分析認為，美國大選及通膨問題可能影響市場風險偏好，但預期台積電法說會有望建展展望，或成為市場,台股週一收盤大跌262點，受美股低迷及台積電股價下挫影響。台積電市值蒸發112兆，創歷史第九大跌幅。傳產股受中國政策刺激影響上漲，科技股則疲弱。市場分析認為美國大選及通膨問題可能影響市場風險偏好，但預期台積電法說會有望建展展望，或成為市場利多。,台股週一大跌262點，主要受到美股低迷及台積電股價下滑的影響，台積電市值蒸發112兆，創下歷史第九大跌幅。傳產股因中國政策刺激而上漲，但科技股表現疲弱。市場分析指出，美國大選及通膨問題可能影響市場風險偏好，然而，預期台積電法說會將提供正面展望，可能成為市場的利多因素。整體而言，市場情緒仍然謹慎，需密切關注即將公布的經濟數據及企業財報。,1.0,4.0,US,116.0
17,台股今日漲超200點，台積電、鴻海上漲,台股/ 開盤/ 漲超過200點/ 台積電/ 鴻海/ 美股指數/ 上揚/ 費城半導體指數,台股今日開盤漲超過200點，台積電、鴻海股價皆呈上漲趨勢。美股指數29日微幅上揚，費城半導體指數下跌。於市場利空消息影響下，台積電ADR持續下跌。中國呼籲不購買輝達NVIDIAH20產品，而拜登開放中東地區銷售消息則推升美股指數。台股今日持續走高，指數站上23000點。,台股表現積極，開盤上漲超過200點，顯示市場情緒向好。台積電和鴻海股價上漲，雖然面臨美股和中國的利空消息，但整體指數仍維持上升趨勢，情感偏向樂觀。,台股近期表現積極，開盤上漲超過200點，顯示市場情緒向好。台積電和鴻海的股價上漲，儘管面臨美股和中國的利空消息，整體指數仍維持上升趨勢，反映出投資者的樂觀情緒。這表明市場對於科技股的信心依然強勁，未來可能持續受到資金青睞。,1.0,5.0,TW,117.0
18,台北股市開盤報22329.65點，台積電大漲帶動成交值2381億元,台北股市/台積電/成交值/強颱山陀兒/電子股/金融股/外資。,台北股市10月1日開盤報22329.65點，受到台積電大漲的帶動，早盤成交值預估2381億元。強颱山陀兒雖侵擾台灣，但市場專家認為不會影響成交值。電子股如台積電（2330TW）上漲14元，金融股微幅上漲。外資昨日賣超403億元，特別是台積電。經濟部宣布工業用電調漲125，預計本月16日實施。美股主要指數表現參差，輝達則因新規回升。,台北股市受台積電大漲影響，整體情緒正面，成交值增加。雖有颱風干擾，但市場預期影響有限。外資賣超台積電，顯示出一定的不確定性。工業用電即將調漲，可能對市場情緒帶來壓力。,近期台北股市因台積電大漲而情緒正面，成交值顯著增加。儘管颱風影響市場，但預期影響有限。外資對台積電的賣超顯示出市場的不確定性，可能影響投資者信心。此外，工業用電即將調漲，可能對市場情緒造成壓力。整體而言，市場在樂觀與不確定性之間掙扎，需密切關注外部因素的變化。,1.0,117.0,TW,118.0
19,台股早盤開盤22329點，漲105點，電子股帶動市場上揚。,台股/早盤/電子股/半導體/資金回流/高息低波動/九月經濟數據,台股今日早盤開盤22329點，漲105點，最高22446點，上漲222點。電子股如台積電、鴻海、聯發科帶動上揚，資金由傳產股轉向電子與半導體。分析師呂漢威指出市場資金回流，建議關注高息低波動抗跌股如遠傳和中華電，預估今日成交量3500億元。市場需注意九月經濟數據，可能影響第四季走勢。,情感分析：今日台股表現積極，上漲情緒明顯，多數電子股領漲，顯示市場資金回流。對於高息低波動股的建議顯示對市場穩定的期待，但同時指出九月經濟數據可能帶來不確定性，需謹慎觀察。整體來看，情感偏向正面，帶有謹慎。,今日台股市場呈現積極的上漲情緒，主要受多數電子股領漲及市場資金回流的影響。投資人對高息低波動股市場穩定的期待，但對九月經濟數據的不確定性持謹慎態度。總體而言，市場情緒偏向正面但帶有謹慎，建議投資人保持觀察並採取適當的風險管理措施。,1.0,2.0,TW,119.0
20,颱風山竹來襲，台積電營運不受影響，股價上揚,颱風/台灣/停班停課/台積電/防颱措施/營運/股價,颱風山陀兒靠近台灣，全台22縣市停班停課。台積電已啟動防颱措施，預計營運不受重大影響。外媒關注台積電示例行公事，不受颱風干擾。股價略有上漲。外媒報導提及台積電在防颱準備中的稱為例行公事。,台積電已啟動防颱措施，預計營運不受重大影響，股價略有上漲。外媒稱台積電在防颱準備中的表現為「例行公事」。,台積電啟動防颱措施表明其對營運持續性的重視，顯示公司在面對自然災害時具備良好的應急管理能力。外媒的評價「例行公事」突顯出台積電的成熟運營流程，使市場信心增強，進而導致股價略有上漲。整體趨勢顯示，台積電在逆境中仍能保持穩健的營運策略，有助於增強投資者對其長期前景的信賴。,1.0,4.0,TW,120.0
21,鴻海（2317）全球擴張，營收年增32.8%。,鴻海/電子製造服務/供應鏈/半導體/地緣政治風險/生產靈活性/營收,鴻海（2317）是全球最大的電子製造服務提供商，客戶包括蘋果與微軟。公司在中國、印度、東南亞及北美等地布局，以減輕地緣政治風險並提升生產靈活性。首次在巴西生產iPhone16，顯示供應鏈多元化進一步推進。8月營收達5483億元，年增32.8%，前八月累計39兆元創新高。鴻海在半導體領域持續投資，計畫在歐洲設立封裝廠以增加影響力。,鴻海的最新動態顯示出積極的發展趨勢，特別是在供應鏈多元化和營收增長方面。首次在巴西生產iPhone16，顯示出其靈活應對地緣政治風險的能力。整體情感偏向正面，顯示出公司穩健的成長和未來潛力。,鴻海近期的發展趨勢顯示出積極向上的氛圍，特別是在以下幾個方面：  1.**供應鏈多元化**：首次在巴西生產iPhone16，有助於降低因地緣政治風險帶來的影響，增強了生產靈活性。  2.**營收增長**：這一策略不僅為鴻海提供了新的市場機會，也可能推動未來的營收增長。  3.**整體情感正面**：市場對公司的未來潛力持樂觀態度，顯示出其穩健的成長能力。  總體而言，鴻海在全球市場中的積極布局將為其長期發展打下良好基礎。,1.0,6.0,TW,121.0
22,鴻海科技日推出全新電動車ModelD,鴻海/科技日/電動車/ModelD/賓尼拉利納/Pininfarina/人工智慧,鴻海2317將於10月8日至9日的科技日推出全新電動車ModelD，設計由義大利知名品牌賓尼拉利納Pininfarina操刀。ModelD預計引領未來科技，鴻海已開發6款電動車型，包括ModelC、E、T、B、V及N。科技日將開放給民眾參觀，展示內容以人工智慧為主軸，涵蓋智慧製造、電動車及城市應用。,鴻海即將推出全新電動車ModelD，展現未來科技的潛力，情感上表現出期待與興奮。科技日開放參觀，強調人工智慧及創新應用，令人感到積極向上。,鴻海推出全新電動車ModelD，顯示出其在電動車市場的積極布局和未來科技的承諾。這款車型融合先進的人工智慧技術，預示著更智能化的駕駛體驗。科技日的開放參觀活動，則彰顯了公司對創新應用的重視，激發了公眾的期待與興奮。整體上，這反映了電動車市場的持續成長與科技進步帶來的積極影響。,1.0,17.0,TW,122.0
23,鴻海股價強漲，預計有望突破200元。,鴻海/股價/分析師/蘋果/出貨/伺服器/投資人,鴻海（2317）今日股價強漲逾4%，一度突破190元，分析師預測在第四季出貨增長和蘋果新機營收提升下，有望突破200元並挑戰235元的高點。市場對GB200伺服器出貨的疑慮逐漸明朗，預計10月起回升。儘管全球市場面臨多重挑戰，仍期待在年底前有驚驚漲行情。投資人可以把握震盪拉回的機會進行布局。,情感分析：整體情緒偏向正面。鴻海股價強漲，分析師預測樂觀，市場疑慮減少，年底有漲勢期待，投資人可把握機會。,###趨勢分析：整體情緒正面  1.**股價走高**：鴻海股價大幅上漲，顯示市場信心回升。 2.**分析師預測**：樂觀的預測增強了市場對未來表現的期待，吸引更多投資者關注。 3.**市場疑慮降低**：過去的擔憂逐步消退，為投資者提供了更穩定的環境。 4.**年底漲勢預期**：隨著年底即將到來，市場普遍預期有進一步的上漲潛力，投資機會增多。  ###總結 目前情緒指向積極，投資人可抓住當前機會，布局未來潛在的增長。,1.0,2.0,TW,123.0
24,新竹商場營業正常吸引消費人潮,山陀兒颱風/新竹/巨城/美食街/營運長/SOGO百貨/BigCity,山陀兒颱風雖停滯不前，今日全台各地宣布放颱風假，但新竹天氣良好，無雨僅有風。新竹巨城消費人潮湧現，4樓美食街擠滿用餐民眾。營運長表示，考量天氣狀況，決定正常營業，預計業績表現佳。家長帶孩子逛街用餐，商場人潮興盛，SOGO百貨及BigCity正常營業。商場外長隊等候進入，消費熱潮高漲。,情感分析：整體情感偏向正面。雖然颱風影響全台，但新竹天氣良好，商場人潮湧現，消費熱潮高漲，顯示出民眾的活力和商家的樂觀。,趨勢分析：  1.**整體情感正面**：儘管颱風影響全台，民眾情緒仍然積極，顯示出對生活的熱情。 2.**新竹天氣良好**：局部天氣的優勢吸引了人潮，顯示出地區差異對消費行為的影響。 3.**商場人潮湧現**：消費熱潮高漲，反映出民眾的購物意願和商家的信心，可能促進經濟活動。  總體而言，儘管面臨自然災害，民眾的活力和商業樂觀情緒仍然強勁，顯示出經濟的韌性。,1.0,7.0,TW,124.0
25,台中市連環車禍一人受傷送醫,台中市/連環車禍/劉女/逆向/機車/汽車/受傷送醫,台中市昨天發生連環車禍，劉女駕駛逆向撞車，波及機車和汽車，一人受傷送醫。警方初步調查指劉女未注意車前狀況，並非酒駕。,這則新聞令人遺憾，一連串的車禍造成一人受傷。警方初步調查顯示這起事故是因為劉女未注意車前狀況所導致，而非酒駕。,該新聞顯示了交通事故不一定都是酒駕所導致，有可能是因為駕駛人未注意到路況所引起。這也提醒大眾在開車時要時刻保持警覺，注意周遭環境，以避免類似意外的發生。,1.0,3.0,TW,125.0
26,中度颱風山陀兒影響台灣，風勢增大及降雨加強,中度颱風山陀兒/台灣/風勢增大/氣象署/花東地區/南部/基隆北海岸,中度颱風山陀兒北上，影響台灣造成風勢增大。氣象署表示，花東地區降雨持續，南部降雨也將增強，基隆北海岸將於今天深夜至明天清晨雨勢增強。,情感分析：新聞內容呈現出對颱風影響的警示，情緒偏向緊張與關注，特別是對降雨和風勢增強的描述。,在近期的新聞報導中，對颱風影響的情感分析顯示出明顯的緊張與關注情緒。報導強調了降雨量和風勢的增強，令民眾感到不安。媒體的用詞和語調反映出對可能造成的災害風險的高度警惕。這種情緒趨勢可能推動社會關注災害準備和應對的需求，進一步促使公共安全措施的強化。,1.0,1.0,TW,126.0
27,日本海自驅逐艦首次通過台灣海峽參加多邊演習,日本海上自衛隊/驅逐艦Sazanami/台灣海峽/南海/多邊演習/澳大利亞/紐西蘭/北向南,日本海上自衛隊驅逐艦Sazanami於周三首次通過台灣海峽，前往南海參加多邊演習，並與澳大利亞和紐西蘭的艦艇一同從北向南航行。,這則新聞表達了積極的情感，顯示日本海上自衛隊在國際合作和軍事演習方面的活躍參與。,這則新聞突顯了日本海上自衛隊在國際事務中的積極參與和合作精神，顯示日本對於國際安全和合作的承諾。該趨勢表明日本海上自衛隊正致力於增強國際間的合作關係，並通過軍事演習提升其在地區安全事務中的地位和影響力。,1.0,4.0,JP,127.0
28,股市新手：長期投資ETF建議,股市/定期定額投資/ETF/0050/006208/長期投資/風險,一名股市新手計劃定期定額投資ETF，主要考量兩種策略：一是定期定額購買0050，每月獲利了結以降低虧損風險；二是每月投入6000元長期持有006208，預計10年以上使用。專家建議新手可從長期投資開始，避免頻繁操作帶來的風險，並建議在具備判斷能力後再考慮定期獲利了結。,這篇新聞內容傳達了對股市新手的正面建議，強調長期投資的重要性，並警示頻繁操作的潛在風險。整體情感偏向積極理性，旨在引導投資者建立更穩健的投資策略。,這篇新聞強調了長期投資對股市新手的重要性，與其追逐短期交易，反而應該專注於穩定回報。此外，報導警示頻繁操作可能帶來的風險，鼓勵投資者採取更理性、有計劃的策略。整體情感積極，意在幫助新手建立更堅實的投資基礎。,1.0,5.0,TW,128.0
