news_id,FinRE,FinNA,summary_report,sentiment_analysis
24,台股受美股影響大跌，台積電下挫，整體市場氣氛低迷，科技股表現疲弱。,下跌/科技股/美股/陸股/救市措施,"台股週一受美股不佳和台積電股價下跌影響，大跌598.25點收於22,224.54點。整體市場氣氛低迷，科技股尤其疲弱。台積電股價上漲前五名的個股多為傳產類股，下跌前五名的個股則包括六方科KY和萬海川湖等。分析指出，中國政府出台強力救市措施後，港股和陸股上漲，但美國科技股表現分化。未來",0.539591372013092
20,台股開盤下挫，台積電失守千元價位，大立光等權值股普遍下跌。,競爭/股指期/投資人/台股/台積電,台股今日開盤下挫，台積電失守千元價位，大立光、鴻海等權值股普遍下跌。美股主要指數上週五收漲，但台指期夜盤下挫，預估今日台股可能回測5日線。投資人應評估風險自行負責。,0.9007662534713745
23,"台股今日收盤下跌598點至22224點,台積電股價急跌至957元。",收盤點數/成交量/股價表現/政策受惠股/漲跌幅,台股今日收盤22224點，下跌598點，失守510日及月線，成交量減少至3908億。台積電股價在收盤前爆出大量賣單，股價從971元擊殺至957元收跌43元。鴻海收跌183元，聯發科則漲幅675元。中國政策受惠股表現較強，如鋼鐵、玻璃、水泥類股。,0.973680853843689
21,台股下挫超過200點，台積電受益人數下降69萬人，股價下跌15元，航運股遭下殺，電費調漲仍待宣布，美股連續三周上。,下挫/股市/預期/股價/電費調漲,台股周一開盤下挫超過200點，分析師預料短線回檔壓力大，但認為在第4季盤整後有機會震盪向上。上周台積電總受益人數下降69萬人，其股價下跌15元。其他權值股也有下跌，航運股更被下殺。電價費率審議會將於30日宣布是否調漲電費，工業總會和工商協進會希望勿再調漲。美股連續三周上,0.7760367393493652
30,颱風山陀兒逼近台灣，台積電準備完善，股價上揚。,天氣/科技公司/颱風影響/防災措施/股價上漲,颱風山陀兒正逐漸接近台灣，全台22縣市已宣布停班停課。外界關注颱風是否會對台灣知名的科技巨頭台積電造成影響。台積電表示他們已啟動例行的颱風準備程序，並預計此次颱風不會對營運造成重大影響。外媒TheRegister特別提及台積電在聲明中將防颱措施稱為例行公事。台積電股價上漲，外媒報導指出台積,0.4777511656284332
25,台股週一開盤上漲105點，台積電、鴻海等個股表現強勁，指數突破23000點。,收購/合作/競爭/持股/市場情勢,記者王翊綺報導，台股今日開盤漲105點至22329點，台積電、鴻海等個股皆呈現上漲趨勢。美股四大指數結束微幅震盪，華冠投顧分析師指出，市場仍持看多態度。中國呼籲停止購買NVIDIA產品，但拜登開放中東地區銷售，令股市稍有轉好。台股指數站上23000點，向上突破。,0.9241213202476501
27,台積電股價飆漲至977元，帶動台股重回2萬3千點，台灣電價調漲，外資賣超403億元。,股價大漲/外資賣超/人工智慧晶片/電價調漲/9月營收,台北股市10月1日開盤，台積電股價大漲至977元，帶動台股重返2萬3千點。市場關注中國大陸加強壓力向本國企業採購人工智慧晶片。另外，台灣電價調漲定案，外資昨日在台賣超403億元，黃漢成提醒投資人關注9月營收及季報。,0.8233181834220886
31,鴻海推出新車ModelD，與Pininfarina合作，10月科技日展示。,合作/新車款/展示/設計/推出,鴻海(2317)的全新電動車ModelD將與賓尼拉利納Pininfarina合作設計，將於10月8日的鴻海科技日亮相。鴻海已開發了6款電動車型，包括休旅車、轎車、巴士等，並與裕隆合資推出納智捷LUXGENn7電動車。科技日將展示人工智慧與智慧製造技術。,0.647542417049408
26,台股早盘大涨200点，台積电、鸿海、联发科等股也上涨。资金从传产股转向电子和半导体，市场资金回流至股票市场。预估今日成交量约3500亿元。鮑爾主席表示若经济数据更差，可能会更快降息。,競爭/貿易/市場擴張/經濟數據/股票市場,台股今日早盤開盤大漲逾200點，最高達22446點。台積電、鴻海、聯發科等股同步上揚。資深證券分析師指出，部分資金從昨日的傳產股轉向電子與半導體族群，市場資金回流至股票市場。建議投資者留意高息低波動的抗跌股，預估今日成交量約3500億元。Fed主席鮑爾表示若經濟數據更差，可能會更快降息,0.9211609363555908
33,鴻海2317全球多元化策略推動營收增長，考慮在歐洲設封裝廠。,收購/全球布局/生產基地/營收增長/投資,鴻海2317是全球最大的EMS服務提供商，業務涵蓋各種產品，客戶包括蘋果、微軟等科技巨頭。鴻海在全球布局多元化，已在中國、印度、東南亞、北美等地設有生產基地，並在巴西首次生產iPhone16。公司營收持續增長，積極在半導體領域投資，考慮在歐洲設立封裝廠。鴻海的全球多元化策略及新技術擴展將助於未來,0.9111501574516296
32,鴻海飆漲4%，突破190元，預估可挑戰200元。,收購/競爭/持股/市場動向/投資建議,鴻海（2317）今日強漲逾4%，突破190元大關，分析師指出基本面強勁，預估可突破200元，挑戰前高235元。雖國際局勢不穩，但Fed降息等利多消息讓市場回溫。投顧建議，鴻海季線反轉有望，短期震盪後可突破200元，長期目標看向235元。,0.988961398601532
95,颱風山陀（名稱）增強，影響台灣（關鍵信息）。,自然災害/天氣警報/颱風警報/降雨警報/風力增強,中度颱風山陀兒逐漸北上影響台灣，風力增大且降雨持續。花東地區有持續降雨，南部雨勢也將增強。基隆北海岸今晚到明天清晨也將有較強雨勢。,0.9787163138389587
98,日本海上自衛隊驅逐艦Sazanami首次通過台灣海峽，前往南海參加多邊演習。,合作/多邊演習/南海/台灣海峽/驅逐艦,日本海上自衛隊驅逐艦Sazanami首次通過台灣海峽，前往南海參加多邊演習，與澳、紐艦隊同行。消息來源未具名。,0.39200347661972046
97,投資小白詢問ETF定期定額操作，建議長期持有以創造利潤。Dcard論壇網友多偏向每月定期投入，利用股息分批買進以降低成本。,投資/ETF/定期定額/長線投入/獲利/利潤/賣出/持續投資/每月定期/長期利潤/股息/大跌/分批買進/成本,股市投資有百百種方式，投資小白問起ETF定期定額該如何操作。有人建議長線投入，避免獲利後無法創造更多利潤。網友在Dcard論壇問到兩種作法：一是獲利就賣掉，二是持續長期投資。其他人多偏向第二種方式，認為每月定期投入有助於創造長期利潤。同时也提到可以利用股息在市場大跌時分批買進，降低成本。,0.9990418553352356
104,來賓王傳一和宣傳戲劇，唐綺陽主持YahooTV節目談工作、感情。,合作/宣傳/討論/節目/分享,來賓王傳一和一位來賓宣傳戲劇，分享拍攝心境和大埔風景。台灣第一網紅唐綺陽在YahooTV討論工作、感情、電影、美食和旅遊。每週一至週三晚上10:30，別錯過YahooTV的節目唐綺陽談星室。,0.521690845489502
105,公司宣布第二季度獲利暴跌25％。,收購/合作/競爭/持股/交易,對不起，我無法理解你的問題。你需要幫忙嗎？,0.5505484938621521
106,S姐強調成功在於持久努力，不在結果，訴說隱性潛能重要性。,競爭/潛能發揮/持久努力/影片分享/江湖人物,報導中提到隱性潛能、韌性等關鍵詞，暗示成功不在於結果而在於持久努力。江湖人物S姐在影片中分享對於潛能發揮的看法。,0.6741010546684265
103,山竹颱風襲台南，風力10級，氣象署預估雨量350毫米。,自然災害/防災措施/海浪/水量增加/陣風,山陀兒颱風直撲南台灣，小琉球和墾丁海邊掀起高急海浪，風力達10級以上。民眾做好防颱措施，超商膠帶封閉門面，攤販固定帆布繩索，漁民維護漁船免受風雨損害。氣象署預估雨量可能突破350毫米，最大陣風達10級。後續颱風移動速度緩慢，風雨持續。,0.9928619265556335
112,抱歉，我不確定你的要求。請提供更多有關財務新聞的信息，以便我能為你提供準確的摘要。,競爭/合作/潛能/韌性/江湖,S姐是江湖人物，宣揚韌性和潛能的重要性。,0.9031030535697937
113,中信兄弟周思齊宣布引退，19年職棒生涯總結。,合作/職棒生涯/亞洲選球王/冠軍/個人成績,中信兄弟周思齊宣布引退，回顧19年職棒生涯從誠泰COBRAS起步，2008年加入兄弟象。他在2012年創下個人紀錄，成為亞洲選球王。在象隊，他拿下三座冠軍，個人成績千安百轟百盜。退役後，周思齊無遺憾，計畫未定。,0.9992890357971191
116,颱風山陀逼近臺灣北部，超市冷藏區搶購，農糧署推平價專區應對。,合作/競爭/供應/降價促銷/民眾囤貨,颱風山陀逼近台灣北部，超市生鮮區採購潮湧現民眾囤貨，網友發現除了紅蘿蔔和菇類外全被搶空，引發笑話風波。農糧署推出平價專區抗漲物價，各連鎖超市降價促銷應對颱風需求。唯獨紅蘿蔔和菇類供應充足，成為搞笑焦點。,0.871607780456543
115,吳慷仁與壹心娛樂簽約，計劃進軍中國市場，引起兩岸粉絲爭議。,合作/競爭/社群媒體/演藝圈/粉絲,演員吳慷仁宣布與中國經紀公司壹心娛樂簽約，打算進軍中國演藝圈。這則消息引起兩岸粉絲的不滿，導致社群媒體上的爭論。吳慷仁的好友溫昇豪低調回應此事，表示尊重吳慷仁的決定。,0.6353110074996948
117,央行调控使房市降温，购房或有优势。房市循环正常，不宜追求最低买最高卖。,房市景氣循環/央行干預投資/買房機會/房市熱度調整/房地產市場景氣,央行打炒房讓房市轉冷，買房撿便宜的機會或已到來。房市的景氣循環是正常的事，熱過頭要休息。然而，買在最低點賣在最高點是不切實際的。房市在絕望中誕生，在半信半疑中成長，並在熱絡中毀滅。從2000年以來的房市景氣循環可以看出這種情況。房地產市場有冷有熱，但別奢望買在最低點,0.9426672458648682
119,中東局勢緊張，多國關閉領空，航空公司取消航班。,競爭/關閉領空/取消航班/暫停航班/飛越領空,伊朗向以色列發射飛彈後，多國宣佈暫時關閉領空，國際航空公司取消飛往該地區的航班。包括以色列、黎巴嫩、約旦和伊拉克等地方也宣佈關閉領空。多家航空公司如法荷航、英航、達美航空、巴基斯坦國際航空公司也取消或暫停相關航班。歐盟航空安全局建議航空公司避免飛越黎巴嫩和以色列的領空。,0.8422700762748718
120,中國國慶後，香港首日暴漲，全球最牛股，交易量創歷史高。,競爭/交易/指數/政策措施/市場流入,香港股市在中国国庆节后复市，首日出现暴涨，指数一度超过台股指数收盘点数。今年以来，香港股市上涨幅度近三成，成为全球最牛股。然而，股市冲高后也出现了一定的获利了结卖压。習近平釋出的一些穩定經濟的政策措施也吸引了大量资金流入港股市场。香港股市的交易量创下历史新高。虽然台股在金管会公布的数据中的涨幅略高于港股，但如果算上,0.769646167755127
122,34位刮刮樂頭獎得主需在明天前兌獎，總金額3510萬，頭獎包括30萬、50萬、200萬、100萬、300萬等。,收購/合作/競爭/持股/交易,34位刮刮樂頭獎得主尚未兌獎，須在明天前認領總金額3510萬。若超時未認領將被充公。頭獎資訊包括30萬、50萬、200萬、100萬、300萬等。兌換須注意銀行截止時間。業者提醒可能因忘記而未兌換，建議檢查有無遺失彩券。,0.9496697783470154
121,香港股市复市首日暴涨1533点，最高达22667点，涨幅近三成，成为全球最牛股，短期涨势受习近平话语影响。,競爭/交易/持股/合作/收購,香港股市在中国国庆日后复市，首日暴涨1533点，最高达到22667点。恒生指数一度超过台股指数收盘的22390点，并且今年涨幅近三成，成为全球最牛股。然而，暴涨后出现了獲利了结和卖压，指数回落至22099点位置。習近平的一句话让资金热钱涌入香港股市，推动了此次提前受益的涨势。因此，香港股市在短期内取得了令人瞩目的上涨。在今年全球股市中，,0.7882168889045715
118,環長彭啓明在IEMN年會上提到台灣透過產業聯盟發展新技術，加速產業升級轉型，並持續站穩國際市場。,合作/環保政策/國際交流/資源使用效率/產業升級,環境部於2日舉辦了2024國際電子廢棄物管理網絡(IEMN)年會，旨在透過國際交流分享全球電子廢棄物的妥善處理策略，提高資源使用效率。環長彭啓明表示，除了推動共享經濟和綠色費率等政策，台灣還運用群體戰的策略，通過產業聯盟發展新技術，加速產業升級轉型，並持續站穩國際市場。環,0.9302425384521484
123,34位刮刮樂頭獎得主宜盡快兌現3510萬，否則充公。,合作/交易/減持/競爭/持股,34位刮刮樂頭獎得主未現身，須於明天前領走3510萬否則充公。各頭獎金額總共到達3510萬，最高為300萬。彩券行業者提醒需趕在銀行關門前兌換。未兌獎可能是第一次購買或遺忘。呼籲過年期間檢查是否有彩券。,0.922817051410675
124,NVIDIA執行長指出台灣使用AI預測颱風路徑，預計颱風登陸時間延後。,合作/技術應用/氣象預測/颱風路徑預測/自然災害評估,NVIDIA執行長黃仁勳演講指出AI可預測颱風登陸位置，台灣已使用AI平台預測山陀兒路徑，AI模式預測準確性受到注目。目前颱風移動緩慢且強度逐漸減弱，颱風登陸時間可能延後至周三。AI模式預測路徑與各國氣象單位有異，展現多元結果。中央氣象署指出山陀兒對台灣部分地區構成威脅，預計強度將減,0.9786022901535034
125,NVIDIA執行長介紹AI預測颱風，山陀兒路徑改變。,合作/技術應用/天氣預測/自然災害/科技創新,輝達NVIDIA執行長黃仁勳演講介紹AI可預測颱風，台灣氣象署也使用AI預測颱風路徑。颱風山陀兒路徑詭異，多個AI模式預測從台灣西部登陸，比傳統模式準確。山陀兒將在週三入夜後登陸南部，強度趨向減弱。中央氣象署表示，山陀兒暴風圈已進入多地區，預計強度將繼續減弱。,0.9959104061126709
132,中國股市反彈，空頭虧損69億美元，華泰證券：空頭回補或推高股價。,競爭/投資者/股價/市場反彈/做空,根據S3Partners的報告指出，中國股市在政府刺激下反彈，空頭已虧損69億美元。在近期反彈後，賣空行為放緩。華泰證券統計顯示，恒生指數日均沽空比例回落至109.8，而股價暴漲使做空投資者損失慘重。預計若市場繼續上漲，大量空頭回補將進一步推高股價。不過，如果空頭開始大規模回補，阿里巴巴的股價,0.6734469532966614
128,投資人擔憂高股息ETF股災虧損，考慮轉投市值型基金。,減持/交易/持股/投資組合/股災,投資人擔憂持有高股息ETF遇股災虧損，考慮出清改買市值型基金。網友分享在股市血崩中遭逢股災，決定先賣出賺錢的基金，留下虧損基金。其他網友建議不用再挑高波動的高股息，該如何調整投資組合以降低風險。,0.9986506104469299
130,台灣工業電價再調漲125元，經濟部希望撥補兩千億預算。,持股/競爭/合作/減持/交易,台灣工業電價將平均再調漲125元，經濟部台電希望撥補兩千億元預算。國民黨立委楊瓊瓔批評台電調漲電價卻仍虧損，呼籲政府提出明確電價及能源發展規劃。她指出政府對電價調漲需求來源不當，並主張財務改革後再討論預算撥補。楊瓊瓔呼籲政府穩定能源供應並,0.9953371286392212
131,工業電價漲125，政府要撥補兩千億補貼，國民黨批評。,競爭/持股/財務改革/能源問題/供電穩定,工業電價確定平均再調漲125，經濟部希望立法院支持撥補兩千億元預算。國民黨立委批評台電調漲電價卻向政府要預算，擔心缺電和物價上漲。政府應提出財務改革、電價規劃，解決能源問題。民眾對供電穩定和漲價擔憂，希望政府有明確政策。,0.9954929351806641
129,投資人考慮出清00929和00919ETF因股災風險，轉投006208，另議應專注市值型基金，不挑高波動高股息。,交易/持股/投資組合/市值型基金/股息ETF,投資人因ETF00929和00919遇股災虧損，考慮出清改買006208。另一網友建議應專注於市值型基金，不必再挑高波動的高股息。原PO持有成本過高，擔心未來股災風險。其他網友表示不必賣出高股息ETF，需自行判斷，另報導顯示ETF00919吸引投資人。,0.9983654618263245
134,"彭啓明提到台灣透過循環經濟政策推動產業轉型,台美合作IEMN致力電子廢棄物處理。",合作/環保政策/循環經濟/全球/產業轉型,環境部舉辦2024國際電子廢棄物管理網絡年會，強調電子廢棄物處理是淨零關鍵。彭啓明提到台灣透過循環經濟、共享經濟和環保政策來推動資源循環，加速產業轉型。台美合作IEMN致力全球電子廢棄物處理，已轉向循環經濟。環境部強調2035淨零目標，推動循環設計、電子,0.9255337119102478
135,三星GalaxyTabS10系列平板上市，推出5G和WiFi版，提供多種購機優惠。,合作/競爭/創新/硬體升級/智慧助理,三星宣布旗艦平板GalaxyTabS10系列在台上市，推出5G及WiFi版選擇，並提供多種購機優惠。GalaxyTabS10系列結合GalaxyAI創新與硬體升級，應用包括筆記智慧助理、搜尋圈再進化、網頁摘要智慧助理等。平板與手機連結後可同步通話、剪貼簿資料，還能跨裝置拖曳檔案或連結筆電。GalaxyTabS10系列搭載120Hz更新頻,0.6175217628479004
133,中國股市因政府刺激政策反彈，空頭虧損69億美元，華泰證券統計顯示恆指沽空比例下降至1098。阿里股價上漲使空頭虧損慘重，市場預測大量空頭回補將推高股價。,競爭/減持/交易/持股/市場預測,中國股市因政府刺激政策反彈，空頭虧損69億美元。近期賣空者開始減少，但仍有公司遭空頭打擊。華泰證券統計顯示恒指沽空比例下降至1098，港股互聯網沽空比例升至46。阿里股價上漲使空頭虧損慘重，市場預測大量空頭回補將推高股價。若股價繼續上漲，空頭可能加速回補，對阿里股價影響,0.9486607909202576
136,三星GalaxyTabS10台灣逆勢成長，搭載GalaxyAI和AIKey功能。,收購/合作/競爭/產品特色/市場表現,三星宣布GalaxyTabS10系列旗艦平板在台上市，搭載GalaxyAI和AIKey功能，提升生產力和創意。平板配備大螢幕、多功能SPen和書本式鍵盤皮套，可一鍵呼叫智慧助手進行打字和搜尋，也支援SamsungDeX模式轉換成筆電般桌面使用。此外，平板具備IP68防塵防水等級。GalaxyTabS10系列在台灣市場銷售逆勢成長，並提供多種優惠禮遇。遠,0.974801242351532
137,亞果遊艇推出颱風期間每呎15元的停泊優惠，提供安全的避風港。,合作/臨時停泊優惠/碼頭服務/颱風期間/船難安全,亞果遊艇為船主提供臨時停泊五折優惠，碼頭提供安全避風港。董事長表示2座碼頭有173個遊艇泊位，平時每天每呎30元，但颱風期間以每呎15元的價格開放給需要臨停的遊艇。碼頭提供休憩空間和24小時巡視，確保遊艇安全。颱風容易造成船難，亞果希望提供遊艇一個安全的避風港。,0.5612742304801941
150,戴資穎世界第5，積分87111面臨挑戰。周天成男單第9，積分71877【TSNA】,競爭/排行榜/羽球選手/世界排名/挑戰,羽球選手戴資穎維持世界第5名，周天成為男子單打第9名。戴資穎積分87111分，年終賽排名第12，面臨挑戰。周天成積分71877分，為世界第9。其他台灣選手林俊易、李佳豪、王子維分別排名12、24、25。【TSNA提供】,0.9707514643669128
146,陳炳男北科附工教練，吳柏宏轉教平鎮高中，羅國禎創WeAre運動媒體。,合作/退役/教練/運動媒體/棒球,隨味全龍三連霸教頭陳炳男成北科附工教練，興農牛吳柏宏轉教平鎮高中，羅國禎首登一軍退役後創WeAre運動媒體，以不同方式延續棒球熱情。他們都曾在職棒追夢，現在回顧職業生涯時刻，並邁向新旅程。,0.9986751675605774
145,中信兄弟棒球選手周思齊自2008年展開職業生涯，2012年達巔峰，並入選經典賽。,合作/競爭/退役/棒球選手/冠軍,周思齊是中信兄弟的棒球選手，從2008年開始他的職業生涯。他在2012年達到生涯巔峰，並於隔年入選經典賽。在象隊服役期間，他與球隊擊敗對手拿下三座冠軍。他退役後是否有遺憾尚不得知，至於未來計劃則未有消息。,0.9997356534004211
149,日本控衛河村勇輝加入灰熊參加訓練營，積極展現實力。,合作/競爭/訓練營/球衣/籃球,日本第一控衛河村勇輝加入灰熊參加訓練營，表示要努力證明自己能上場。他與加拿大華裔球員小姚明周志豪合照再現經典瞬間，引起球迷討論。河村勇輝身高172公分，選擇17號球衣，希望能靠實力證明自己。他強調NBA訓練強度高，需要努力和智慧，將繼續學習提升。,0.9997246861457825
148,日本球員河村勇輝夏季加入灰熊，與周志豪模仿經典照，訓練期挑戰高強度。,合作/訓練營/球衣/球員合照/訓練強度,日本控衛河村勇輝今夏與灰熊簽下Exhibit10合約，首次參加訓練營。他與加拿大球員周志豪合照再現經典場景，引起球迷討論。身高172公分的河村與224公分的周志豪站在一起，模仿1987年的經典萌照。河村表示NBA訓練強度高，必須全力以赴。他選擇17號球衣，與大谷有緣。,0.9879796504974365
165,法院支持小美離婚，丈夫冷漠導致婚姻破裂。,婚姻破裂/離婚/家務分擔/法院支持/網路交鋒,小美忍受丈夫21年粗言，法院支持離婚。楊繡惠控徐乃麟辱罵後反擊，展開網路交鋒。小美承擔繁重家務，丈夫冷漠，導致婚姻破裂。法官判准小美休夫。,0.8463258147239685
161,颱風山竹來襲，北一女中生熱愛學習。,合作/競爭/學習/颱風假/校園安全,颱風山陀兒持續逼近台灣，全台今2日放颱風假。北一女中學生昨晚停課後有十幾名學生夜奔校園取書準備學習，引起熱議。校長表示學生珍惜每分每秒學習，展現學習熱忱。其他學生也紛紛回學校拿書，維持讀書進度。,0.48721110820770264
157,男子童年誤食橄欖，意識錯誤後悔。,童年回憶/橄欖/檳榔/健康警示/快樂找尋,一位男子在童年時誤把橄欖當作檳榔吃了十年，最近才發現錯誤。他在學校查檳榔的危害後，意識到自己戒錯了東西，並感到後悔。他現在打算尋找童年的快樂，向橄欖道歉。曝光後，許多人分享了童年的回憶和對橄欖的喜愛。然而，也有人提醒他不要過量食用橄欖，因為它屬於醃製的果脯,0.8916080594062805
169,財政部公布8月統一發票中獎清冊，含17張千萬特別獎和15張200萬特獎，全聯福利中心和7-ELEVEN有幸運中獎者。,合作/獎金/商家/發票/消費品种,財政部公布78月統一發票中獎清冊，包括17張千萬特別獎和15張200萬特獎。其中，全聯福利中心和7-ELEVEN均有幸運中獎者，領獎期間為10/6至明年1/5。不少商店中獎的消費金額及商品類型也被公布。中獎發票明細包括蘋果AppStore、foodpanda、自由聯盟生鮮超市、OKmart、Carrefour等。,0.9738981127738953
166,颱風山陀兒襲台，需注意西南部地區強風和沿海地區的颱風暴潮，中北部降雨增加。,合作/颱風山陀兒與氣象署合作預測/防風/強風影響西南部地區，需注意防風/防災/南部沿海地區應防颱風暴潮/降雨/強降雨持續，中北部降雨明顯增加/預警/應謹慎防範颱風帶來的降雨變化,颱風山陀兒緩慢移動，氣象署預估今晚到明天上半天強風影響西南部地區，需注意防風。雖然颱風強度減弱，但登陸時仍具威力。南部沿海地區應防颱風暴潮。台東、屏東、花蓮強降雨持續，中北部降雨明顯增加。慎防颱風帶來的降雨變化。颱風在秋天路徑預測較不明確，應謹,0.8744422793388367
171,抱歉，我們的設計初衷是為了提供客觀和中立的信息，暫時無法提供廣告類型的內容。,合作/法律服務/溝通/律師/案件,這是一則廣告，宣傳謙聖國際法律事務所專精侵害配偶權的案件，提到他們主持律師王聖傑擁有多年實戰經驗及成功案例，並強調法律服務及溝通等優點。,0.5402193665504456
176,中國需應對房地產泡沫、地方政府債務和老齡化挑戰，橋水創辦人建議實施刺激和去槓桿措施。,合作/挑戰/政策刺激/去槓桿行動/歷史性轉折點,橋水創辦人達利歐認為中國經濟正面臨歷史性轉折點，需應對房地產泡沫和地方政府債務。他建議中國實施大幅刺激措施和去槓桿行動，但也提醒這將是痛苦的。達利歐認為中國需應對債務、貨幣和老齡化挑戰，他預計中國將實施更高強度的政策刺激，但也呼籲關注,0.9330086708068848
181,新北市土城警分局清水派出所所長劉宗鑫在颱風夜遭30歲女駕駛拖行撞死，新北市長表示全力照顧家屬。,合作/交通安全/公共安全/照顧家屬/撫卹待遺眷。,新北市土城警分局清水派出所所長劉宗鑫在颱風夜遭30歲女駕駛拖行撞死，新北市長侯友宜表示非常痛心難過，承諾全力照顧家屬，爭取最高的撫卹待遺眷。,0.981261134147644
177,本周發佈928檔期，推案量2850億元，台北550億，新北940億，建商延後推案，消費者不必搶房，仍有公開銷售案例。,房市檔期/推案量減少/建商延後推案/市況不佳/消費者不需搶房,本周928房市檔期登場，預估推案量減少至2850億元，其中台北約550億、新北約940億。建商延後推案導致市況不佳，消費者不需搶房。仍有案例維持進度公開銷售。消費者可多看比較，累積看屋經驗，修正對房子需求，目標更明確。,0.4624079465866089
180,總統府否認賴清德震怒指責國軍將領一事，強調賴總統尊重國軍。,合作/競爭/官威/總統府否認/爭議,總統府否認賴清德震怒指責國軍將領一事。總統府副秘書長張惇涵表明，賴總統並未摔東西或罵人，且常表達感謝之意。賴總統茶敘時因將官未起立，引發爭議。國防部解釋茶敘細節未清楚。張惇涵表示，賴總統尊重國軍，並強調賴總統不會耍官威。,0.8901767134666443
140,第一銀行獲金管會金融教育貢獻獎，重視理財觀念。,合作/獎項/金融教育/金融商品/詐騙犯罪,第一銀行獲得金管會金融教育貢獻獎的最佳協力獎和最佳投入獎，在頒獎典禮上受獎。第一銀行非常重視金融教育，認為這是讓大眾瞭解金融商品和建立理財觀念的基礎，特別是近年來詐騙犯罪日益猖獗，造成民眾財產損失和人際關係的破裂，更凸顯了金融教育的重要性。第一,0.9506047964096069
